ops,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
204,1282910,1321440,1320066,1292107,1274111,1320606,1302805,1334037,1304664,1313365,1309162,1305201,1303131,1355241,1317403,1278913,1310625,1269972,1302122,1315650,1295691,1313547,1307187,1317656,1281022,1317611,1292159,1330265,1307988,1300088,1334240,1328134
205,1289334,1327333,1326392,1297594,1280013,1327319,1308940,1339498,1310766,1319447,1314738,1310682,1308916,1361481,1323411,1284274,1317146,1276601,1309234,1322014,1302554,1320643,1314236,1325488,1286150,1322655,1297122,1335069,1312689,1305180,1339347,1333025
206,1294803,1334166,1333281,1304220,1285946,1333282,1315049,1346422,1317138,1326324,1321587,1318025,1315013,1368227,1329243,1291219,1322986,1281617,1314534,1327481,1307746,1325783,1319255,1330512,1292255,1328924,1303606,1341309,1318774,1310969,1345169,1339358
207,1299463,1338731,1337165,1308584,1290629,1337875,1319883,1351298,1321749,1330437,1326538,1322062,1320080,1372759,1334266,1295238,1328813,1287330,1320550,1333526,1313651,1331734,1326008,1336964,1297384,1334635,1308798,1347033,1324546,1316956,1351170,1344907
208,1305106,1345566,1343329,1314686,1297676,1343939,1325925,1357227,1327503,1337308,1333171,1329324,1326649,1378660,1340832,1301097,1334246,1292684,1325834,1339207,1318930,1337603,1330856,1342043,1303690,1341059,1315006,1353046,1330470,1322533,1357193,1350680
209,1312862,1352601,1352128,1323187,1304708,1351574,1333467,1364970,1335577,1344790,1340205,1336225,1333372,1387405,1348848,1309562,1340039,1298253,1332256,1345483,1324823,1343613,1336579,1347685,1311358,1348737,1321987,1360301,1337602,1330073,1365270,1358168
210,1319256,1359429,1359043,1328785,1310003,1359250,1340140,1372308,1343754,1351841,1347706,1342870,1342490,1396070,1356618,1316649,1348046,1306159,1339026,1353143,1332246,1351577,1344114,1355312,1317126,1354983,1328575,1367369,1344430,1336572,1371346,1364891
211,1325334,1366078,1364839,1335386,1316226,1365364,1347218,1378660,1348672,1357451,1353347,1349203,1346824,1400596,1361457,1322201,1354708,1312616,1346018,1359653,1338982,1357534,1351151,1362296,1323875,1361461,1335538,1374760,1350770,1343491,1378982,1372054
212,1331824,1372525,1370854,1341445,1323364,1370889,1352391,1384733,1355052,1363741,1360578,1355633,1353223,1406844,1368842,1328268,1361042,1318849,1353110,1366498,1345235,1363779,1358192,1368778,1329559,1366900,1341322,1379749,1357806,1348886,1384667,1378422
213,1336786,1377525,1375733,1346792,1327906,1377121,1358036,1389995,1360598,1369531,1365720,1361278,1358892,1413028,1373694,1334021,1367111,1325753,1358680,1371502,1350629,1370837,1363006,1374974,1335091,1372873,1346436,1385869,1362648,1355183,1389841,1383377
