op_rw,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
116,54,54,108,108,0,54,108,108,162,216,54,0,54,54,0,108,108,54,108,54,108,0,108,108,54,54,54,54,108,54,216,108
117,54,54,108,108,0,54,108,108,162,216,54,0,54,54,0,108,108,54,108,54,108,0,108,108,54,54,54,54,108,54,216,108
118,54,54,108,108,0,54,108,108,162,216,54,0,54,54,0,108,108,54,108,54,108,0,108,108,54,54,54,54,108,54,216,108
119,56,56,112,112,0,56,112,112,168,224,56,0,56,56,0,112,108,54,108,54,108,0,108,108,56,56,56,56,112,56,224,112
120,56,56,112,112,0,56,112,112,168,224,56,0,56,56,0,112,112,56,112,56,112,0,112,112,56,56,56,56,112,56,224,112
121,56,56,112,112,0,56,112,112,168,224,56,0,56,56,0,112,112,56,112,56,112,0,112,112,56,56,56,56,112,56,224,112
122,56,56,112,112,0,56,112,112,168,224,56,0,56,56,0,112,112,56,112,56,112,0,112,112,56,56,56,56,112,56,224,112
123,56,56,112,112,0,56,112,112,168,224,56,0,56,56,0,112,112,56,112,56,112,0,112,112,56,56,56,56,112,56,224,112
124,58,58,116,116,0,58,116,116,174,232,58,0,58,58,0,116,116,58,116,58,116,0,116,116,58,58,58,58,116,58,232,116
125,58,58,116,116,0,58,116,116,174,232,58,0,58,58,0,116,116,58,116,58,116,0,116,116,58,58,58,58,116,58,232,116
