op_rw_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,9.7e-05,0.000111,9.6e-05,8.8e-05,0,0.00134,0.000105,0.000131,0.000112,0.000141,8.3e-05,0,0.002685,9.3e-05,0,0.000154,0,0,0,0,0,0,0,0,6.6e-05,6.5e-05,0.000114,0.000141,9.5e-05,9.1e-05,0.000136,7.1e-05
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5e-05,7.4e-05,0.000567,0.000177,9.2e-05,0,0.000335,0.000174,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,6.2e-05,9.5e-05,8.9e-05,7.9e-05,0,7.3e-05,0.000153,8.2e-05,0.000162,6.6e-05,5.7e-05,0,7.1e-05,7.1e-05,0,0.000114,0,0,0,0,0,0,0,0,7.3e-05,6e-05,8e-05,9.4e-05,7.7e-05,6.7e-05,0.00011,7.7e-05
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7e-05,5.5e-05,8.7e-05,6.3e-05,7.3e-05,0,7.3e-05,7.3e-05,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0.000214,8.7e-05,0.000261,8.7e-05,0,0.000279,0.000418,0.0001,9.2e-05,8.7e-05,7.1e-05,0,0.000186,0.000119,0,0.000156,0.000184,0.000119,0.000118,0.000157,0.000101,0,8.7e-05,0.000165,5.9e-05,0.000113,0.000112,0.00011,0.000315,6.2e-05,7.9e-05,0.000105
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,7.8e-05,0,0,0,0,0,0,0,0.002079,0,0,0.005167,9.7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
