loadavg,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
85,6107,6107,6107,6107,6107,6107,6107,6107,5033,5033,5033,4722,5033,5033,5033,5033,5953,5645,5953,5645,5953,5953,5953,5645,4137,4137,4137,4096,4137,4137,4137,4137
86,6107,6107,6107,6459,6107,6107,6107,6107,5033,5033,5033,5033,5033,5033,5033,5033,5953,5953,5953,5645,5953,5953,5953,5953,4137,4137,4137,4137,4137,4137,4137,4137
87,6107,6107,6107,6459,6107,6107,6107,6107,5033,5033,5033,5033,5033,5033,5033,5033,5953,5953,5953,5953,5953,5953,5953,5953,4086,4137,4086,4086,4086,4137,4137,4086
88,6107,6107,6107,6459,6459,6107,6459,6459,4974,5033,5033,5033,5033,4974,5033,5033,5953,5953,5953,5917,5917,5953,5917,5953,4086,4137,4086,4086,4086,4137,4137,4086
89,6107,6107,6459,6459,6459,6107,6459,6459,4974,5033,5033,5033,5033,4974,5033,5033,5953,5953,5953,5917,5917,5917,5917,5953,4086,4137,4086,4086,4086,4137,4137,4086
90,6459,6459,6459,6459,6459,6107,6459,6459,4974,5033,5033,4974,4974,4974,5033,5033,5917,5953,5917,5917,5917,5917,5917,5953,4086,4086,4086,4086,4086,4137,4137,4086
91,6459,6459,6459,6459,6459,6459,6459,6459,4974,4974,4974,4974,4974,4974,4974,5033,5917,5953,5917,5917,5917,5917,5917,5953,4086,4086,4086,4086,4086,4022,4086,4086
92,6459,6262,6459,6262,6459,6459,6459,6459,4974,4974,4974,4974,4880,4974,4974,4974,5917,5953,5917,5917,5716,5917,5917,5917,4022,4086,4086,4022,4086,4022,4086,4086
93,6459,6262,6459,6262,6262,6459,6262,6459,4880,4880,4880,4974,4880,4974,4974,4974,5716,5716,5716,5917,5716,5917,5917,5716,4022,4022,4022,4022,4086,4022,4086,4022
94,6459,6262,6459,6262,6262,6459,6262,6459,4880,4880,4880,4880,4880,4974,4974,4880,5716,5716,5716,5917,5716,5917,5716,5716,4022,4022,4022,4022,4086,4022,4086,4022
