commitcycle_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
207,0,0,0,0,0,0,0,0.422358,0,0,0,0,0,0,0.772387,0.790475,0,0,0,0,0,0,0,0,0,0,0.471268,0.578355,1.210021,1.210256,0,0
208,0,0,0,0,0,0,0.904435,0,0,0,0,0,0,0,0,0,0,0,1.500995,1.333453,0,0,0,0,1.198675,1.246124,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.214421,1.181947,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25487,1.298586,0,0,0,0,0,0,0,0,1.212824,1.154983
211,1.272365,1.242478,1.314499,1.32756,0,0,0,0,0,0,0.814713,0.86412,0.614221,0,0,0,1.319823,1.306159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,1.321122,1.36358,0,0,1.283369,1.318516,0,0,0,0.741407,0,0,0,0,0,0,0,0,0,0,0,0,0.56494,0,0,0,0,0
213,0,0,0,0,0,0,0.706189,0.70836,0,0,0,0,0,0,1.161333,1.240388,0,0,0,0,0,0,0,0,0,0,0,0.636143,1.25491,1.203241,0,0
214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.866242,0.791696,0,0,0,0,1.151091,1.110772,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,0,0.674455,0.611895,0.631296,0,0,0,0,0,0,0,1.263162,1.218605,1.518765,1.480097,0,0,0,0,0,0,0,1.384157
217,1.227772,1.329139,1.394069,1.37579,0,0,0,0,0,0,0,0,0,0.635063,0,0,1.35168,1.349668,0,0,0,0,0,0,0,0,0.597571,0,0,0,1.330994,0
218,0,0,0,0,1.206987,1.210305,0,0.616586,1.291884,1.30381,0,0,0,0,1.133303,0,0,0,0,0,0,0,0,0,0,0,0,0.492927,0,0,0,0
219,0,0,0,0,0,0,0.565417,0,0,0,0,0,0,0,0,1.231054,0,0,0,0.842891,0,0,0,0,0,0,0,0,1.392807,1.397518,0,0
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88298,0,0,0,0,0,1.224448,1.234248,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0,0.810032,0.843309,0.689182,0.755233,0,0,0,0,0,0,1.302715,1.27912,1.452614,1.470881,0,0,0,0,0,0,1.184919,1.199844
223,1.567814,1.558466,1.312539,1.318298,0,0,0,0.655155,0,0,0,0,0,0,0,0,1.51463,1.505827,0,0,0,0,0,0,0,0,0.653681,0.537304,0,0,0,0
224,0,0,0,0,1.174703,1.262261,0.561305,0,1.083127,1.086959,0,0,0,0,0.669859,0.734536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85422,0.897598,0,0,0,0,0,0,0,0,1.458175,1.505095,0,0
226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.326023,1.351651,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0,0.647979,0.688457,0.682587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0,0,0,0,0,0,0,0.710578,0,0,0,0,0,0,0,0,1.428703,1.277392,0,0,0.847877,0.560997,0,0,1.487687,1.502995
229,1.10384,1.056845,1.33155,1.219501,0,0,0.548487,0.590649,1.14516,1.141675,0,0,0,0,0.703982,0,1.157593,1.15185,0,0,1.527289,1.559873,0,0,0,0,0,0,0,0,0,0
230,0,0,0,0,1.23965,1.143113,0,0,0,0,0,0,0,0,0,0.775938,0,0,0,0.618244,0,0,0,0,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.702096,0,0,0,0,0,0,0,0,0,1.233089,1.335617,0,0
232,0,0,0,0,0,0,0,0,0,0,0,0.799824,0,0,0,0,0,0,0,0,0,0,0,0,1.601255,1.551985,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0,0,0,0.758142,0,0.655854,0.594605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0.526772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.313017,1.347091,0,0,0.698555,0.825756,0,0,1.0654,1.134864
